election_date,list,district_id,constituency_city,votes_count,oath_date,seniority,party_full,city_of_birth,date_of_birth,education,finished_school,occupation,voting_participation,name,party_short,additional_info,party_function,academic_degree,sejm_function,mandate_expiry_date
13-10-2019,Koalicja Obywatelska,9,Łódź,17254,12-11-2019,"poseł I kadencji, poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Komorniki,03-01-1941,wyższe,"Uniwersytet Łódzki, Wydział Filologiczny, Filologia Polska - magister (1963)",dziennikarz,93.21,Śledzińska-Katarasińska Iwona,KO,wiceprzewodnicząca klubu,wiceprzewodnicząca,,,
13-10-2019,Sojusz Lewicy Demokratycznej,3,Wrocław,43447,12-11-2019,brak,"Koalicyjny Klub Poselski Lewicy (Nowa Lewica, Razem)",Stalowa Wola,25-08-1979,wyższe,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo i Administracja - magister (2003)Uniwersytet Warszawski, Prawo Europejskie (2006) - studia podyplomoweUniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - doktor (2016)",prawnik,95.38,Śmiszek Krzysztof,Lewica,wiceprzewodniczący klubu,wiceprzewodniczący,doktor,,
13-10-2019,Prawo i Sprawiedliwość,26,Słupsk,9342,12-11-2019,"poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Sopot,26-05-1955,wyższe,"Politechnika Gdańska, Instytut Okrętowy, Mechanika specjalna, okręty - magister inżynier (1981)",inżynier mechanik,98.67,Śniadek Janusz,PiS,członek prezydium klubu,członek prezydium,,,
13-10-2019,Prawo i Sprawiedliwość,22,Krosno,11260,12-11-2019,"poseł III kadencji, poseł VI kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Orzechówka,25-02-1951,wyższe,"Uniwersytet Jagielloński w Krakowie, Wydział Matematyki, Fizyki i Chemii, Matematyka - magister (1974)",specjalista do spraw socjalnych,99.81,Śnieżek Adam,PiS,,,,,
13-10-2019,Prawo i Sprawiedliwość,3,Wrocław,15537,12-11-2019,"poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Wrocław,16-12-1955,wyższe,"Uniwersytet Wrocławski, Wydział Filologiczny, Filologia polska (1980)",parlamentarzysta,99.62,Świat Jacek,PiS,,,,,
13-10-2019,Prawo i Sprawiedliwość,33,Kielce,8186,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,Lublin,27-03-1979,wyższe,"Katolicki Uniwersytet Lubelski, Wydział Prawa i Administracji, Prawo - magister (2006)",prawnik,82.95,Tarczyński Dominik,PiS,Objął mandat posła do Parlamentu Europejskiego,,,,01-02-2020
13-10-2019,Prawo i Sprawiedliwość,18,Siedlce,62891,12-11-2019,"poseł I kadencji, poseł III kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Rzążew,19-05-1950,wyższe,"Politechnika Warszawska, Wydział Elektryczny, Zabezpieczenia elektroenergetyczne - magister inżynier (1974)",parlamentarzysta,99.17,Tchórzewski Krzysztof,PiS,członek prezydium klubu,członek prezydium,,,
13-10-2019,Prawo i Sprawiedliwość,10,Piotrków Trybunalski,27254,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Opoczno,18-04-1969,wyższe,"Politechnika Krakowska, Wydział Inżynierii Środowiska, Ochrona środowiska - inżynier (1996)",rolnik,99.71,Telus Robert,PiS,członek prezydium klubu,członek prezydium,,,
13-10-2019,Prawo i Sprawiedliwość,13,Kraków,10327,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Kraków,02-09-1949,wyższe,"Uniwersytet Jagielloński w Krakowie, Wydział Filozoficzno-Historyczny, Historia - magister (1976)Uniwersytet Jagielloński w Krakowie, Wydział Filozoficzno-Historyczny, Nauki humanistyczne - doktor (1980)Rada Naukowa Instytutu Historii, Nauki, Oświaty i Techniki PAN, Nauki humanistyczne - doktor habilitowany (1992)",wykładowca akademicki,96.38,Terlecki Ryszard,PiS,przewodniczący klubu,przewodniczący,profesor doktor habilitowany (2002),Wicemarszałek Sejmu od 12-11-2019,
13-10-2019,Sojusz Lewicy Demokratycznej,37,Konin,17515,12-11-2019,"poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji","Koalicyjny Klub Poselski Lewicy (Nowa Lewica, Razem)",Niechanowo,21-02-1959,wyższe,"Wyższa Szkoła Umiejętności Społecznych, Marketing i Zarządzanie - licencjat (2000)",ekonomista,99.5,Tomaszewski Tadeusz,Lewica,,,,,
13-10-2019,Prawo i Sprawiedliwość,9,Łódź,6884,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,Łódź,16-11-1956,wyższe,"Uniwersytet Łódzki, Wydział Filozoficzno-Historyczny, Pedagogika kulturalno-oświatowa - magister (1980)",pedagog,99.41,Tomaszewski Włodzimierz,PiS,wiceprzewodniczący klubu,wiceprzewodniczący,,,
13-10-2019,Polskie Stronnictwo Ludowe,37,Konin,9833,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Polska - PSL, UED, Konserwatyści",Poznań,27-07-1973,wyższe,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Prawa, Prawo - magister (1998)",notariusz,93.46,Tomczak Jacek,KP,wiceprzewodniczący klubu,wiceprzewodniczący,,,
13-10-2019,Koalicja Obywatelska,11,Sieradz,44217,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Gryfice,25-08-1984,wyższe,"Uniwersytet Warszawski, Wydział Dziennikarstwa i Nauk Politycznych, Marketing polityczny - magister (2008)",politolog,90.96,Tomczyk Cezary,KO,,,,,
13-10-2019,Koalicja Obywatelska,3,Wrocław,28676,12-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Bolesławiec,08-12-1985,wyższe,"Uniwersytet Wrocławski, Wydział Filologiczny, Filologia polska - magister (2009)Uniwersytet Wrocławski, Wydział Nauk Społecznych, Stosunki Międzynarodowe - licencjat (2009)",specjalista do spraw szkoleń,99.67,Tracz Małgorzata,KO,wiceprzewodnicząca klubu,wiceprzewodnicząca,,,
13-10-2019,Sojusz Lewicy Demokratycznej,9,Łódź,40811,12-11-2019,brak,"Koalicyjny Klub Poselski Lewicy (Nowa Lewica, Razem)",Łódź,30-12-1979,wyższe,"Politechnika Łódzka, Wydział Organizacji i Zarządzania, Zarządzanie przesdsiębiorstwem - magister (2003)Uniwersytet Łódzki, Podyplomowe Studium Finansów i Strategii Spółek (2008) - studia podyplomowe",ekonomista,98.29,Trela Tomasz,Lewica,wiceprzewodniczący klubu,wiceprzewodniczący,,,
13-10-2019,Prawo i Sprawiedliwość,28,Częstochowa,12881,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,Myszków,06-01-1967,wyższe,"Politechnika Częstochowska, Wydział Zarządzania, Zarządzanie, Inzynieria produkcji - inżynier (2009)Politechnika Częstochowska, Wydział Zarządzania, Zarządzanie, Inżynieria produkcji - magister (2011)Wyższa Szkoła Bankowa w Poznaniu O/Chorzów, Zarządzanie zasobami ludzkimi i promocja JST (2014) - studia podyplomowe",inżynier organizacji i planowania produkcji,99.84,Trepka Mariusz,PiS,,,,,
13-10-2019,Koalicja Obywatelska,24,Białystok,37273,12-11-2019,poseł VIII kadencji,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Białystok,25-07-1990,wyższe,"Uniwersytet w Białymstoku, Ekonomia i Zarządzanie, Ekonomia - magister (2014)Uniwersytet w Białymstoku, Ekonomia i Zarządzanie, Zarządzanie - magister (2019)",ekonomista,99.64,Truskolaski Krzysztof,KO,,,,,
